repetition,cell_ids,presented_peptides,presented_hlas,simulation_name,mutation
0,0,peptide180,A0101,100-cells.10x,mut11
0,0,peptide164,A0101,100-cells.10x,mut11
0,0,peptide190,A0101,100-cells.10x,mut28
0,0,peptide180,A0101,100-cells.10x,mut11
0,0,peptide198,A0101,100-cells.10x,mut28
0,0,peptide180,A0101,100-cells.10x,mut11
0,0,peptide182,A0101,100-cells.10x,mut28
0,0,peptide129,A0101,100-cells.10x,mut33
0,0,peptide168,A0101,100-cells.10x,mut11
0,0,peptide168,A0101,100-cells.10x,mut11
0,0,peptide132,A0101,100-cells.10x,mut33
0,0,peptide24,A0101,100-cells.10x,mut12
0,0,peptide197,A0101,100-cells.10x,mut28
0,0,peptide182,A0101,100-cells.10x,mut28
0,0,peptide22,A0101,100-cells.10x,mut12
0,0,peptide172,A0101,100-cells.10x,mut11
0,0,peptide127,A0101,100-cells.10x,mut33
0,0,peptide185,A0101,100-cells.10x,mut28
0,0,peptide144,A0101,100-cells.10x,mut33
0,0,peptide183,A0101,100-cells.10x,mut28
0,0,peptide167,A0101,100-cells.10x,mut11
0,0,peptide138,A0101,100-cells.10x,mut33
0,0,peptide166,A0101,100-cells.10x,mut11
0,0,peptide180,A0101,100-cells.10x,mut11
0,0,peptide174,A0101,100-cells.10x,mut11
0,0,peptide180,A0101,100-cells.10x,mut11
0,0,peptide182,A0101,100-cells.10x,mut28
0,1,peptide187,A0101,100-cells.10x,mut28
0,1,peptide182,A0101,100-cells.10x,mut28
0,1,peptide194,A0101,100-cells.10x,mut28
0,1,peptide144,A0101,100-cells.10x,mut33
0,1,peptide12,A0101,100-cells.10x,mut20
0,1,peptide141,A0101,100-cells.10x,mut33
0,1,peptide180,A0101,100-cells.10x,mut11
0,1,peptide194,A0101,100-cells.10x,mut28
0,1,peptide168,A0101,100-cells.10x,mut11
0,1,peptide182,A0101,100-cells.10x,mut28
0,1,peptide190,A0101,100-cells.10x,mut28
0,1,peptide140,A0101,100-cells.10x,mut33
0,1,peptide144,A0101,100-cells.10x,mut33
0,1,peptide190,A0101,100-cells.10x,mut28
0,1,peptide197,A0101,100-cells.10x,mut28
0,1,peptide180,A0101,100-cells.10x,mut11
0,1,peptide1,A0101,100-cells.10x,mut20
0,1,peptide185,A0101,100-cells.10x,mut28
0,1,peptide168,A0101,100-cells.10x,mut11
0,2,peptide74,A0101,100-cells.10x,mut15
0,2,peptide172,A0101,100-cells.10x,mut11
0,2,peptide92,A0101,100-cells.10x,mut19
0,2,peptide172,A0101,100-cells.10x,mut11
0,2,peptide79,A0101,100-cells.10x,mut15
0,2,peptide86,A0101,100-cells.10x,mut15
0,2,peptide99,A0101,100-cells.10x,mut19
0,2,peptide88,A0101,100-cells.10x,mut15
0,2,peptide80,A0101,100-cells.10x,mut15
0,2,peptide73,A0101,100-cells.10x,mut15
0,2,peptide89,A0101,100-cells.10x,mut15
0,2,peptide74,A0101,100-cells.10x,mut15
0,2,peptide93,A0101,100-cells.10x,mut19
0,2,peptide167,A0101,100-cells.10x,mut11
0,2,peptide77,A0101,100-cells.10x,mut15
0,2,peptide180,A0101,100-cells.10x,mut11
0,2,peptide92,A0101,100-cells.10x,mut19
0,2,peptide99,A0101,100-cells.10x,mut19
0,2,peptide87,A0101,100-cells.10x,mut15
0,2,peptide79,A0101,100-cells.10x,mut15
0,3,peptide92,A0101,100-cells.10x,mut19
0,3,peptide182,A0101,100-cells.10x,mut28
0,3,peptide140,A0101,100-cells.10x,mut33
0,3,peptide92,A0101,100-cells.10x,mut19
0,3,peptide144,A0101,100-cells.10x,mut33
0,3,peptide101,A0101,100-cells.10x,mut19
0,3,peptide140,A0101,100-cells.10x,mut33
0,3,peptide6,A0101,100-cells.10x,mut20
0,3,peptide149,A0101,100-cells.10x,mut26
0,3,peptide129,A0101,100-cells.10x,mut33
0,3,peptide196,A0101,100-cells.10x,mut28
0,3,peptide14,A0101,100-cells.10x,mut20
0,3,peptide182,A0101,100-cells.10x,mut28
0,3,peptide92,A0101,100-cells.10x,mut19
0,3,peptide7,A0101,100-cells.10x,mut20
0,3,peptide92,A0101,100-cells.10x,mut19
0,3,peptide93,A0101,100-cells.10x,mut19
0,3,peptide106,A0101,100-cells.10x,mut19
0,3,peptide128,A0101,100-cells.10x,mut33
0,3,peptide3,A0101,100-cells.10x,mut20
0,3,peptide6,A0101,100-cells.10x,mut20
0,3,peptide94,A0101,100-cells.10x,mut19
0,3,peptide144,A0101,100-cells.10x,mut33
0,3,peptide190,A0101,100-cells.10x,mut28
0,3,peptide144,A0101,100-cells.10x,mut33
0,3,peptide6,A0101,100-cells.10x,mut20
0,3,peptide93,A0101,100-cells.10x,mut19
0,3,peptide127,A0101,100-cells.10x,mut33
0,3,peptide92,A0101,100-cells.10x,mut19
0,3,peptide190,A0101,100-cells.10x,mut28
0,4,peptide132,A0101,100-cells.10x,mut33
0,4,peptide106,A0101,100-cells.10x,mut19
0,4,peptide129,A0101,100-cells.10x,mut33
0,4,peptide16,A0101,100-cells.10x,mut20
0,4,peptide6,A0101,100-cells.10x,mut20
